"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","genelabels"
"Slc12a8",182.7364794,-1.245495978,0.23204669,-5.367436956,7.99e-08,4.4e-06,"sig",FALSE
"Shisal1",103.916178,-1.919137217,0.358586271,-5.351953973,8.7e-08,4.78e-06,"sig",FALSE
"Trak2",2502.735211,-0.532391518,0.099513042,-5.349967256,8.8e-08,4.82e-06,"sig",FALSE
"Plod2",944.2395378,0.724067398,0.135632107,5.338466033,9.37e-08,5.12e-06,"sig",FALSE
"Il4i1",147.0555147,1.901452897,0.356205449,5.338079192,9.39e-08,5.12e-06,"sig",FALSE
"Rps14",5454.858396,1.025656986,0.192255443,5.334865802,9.56e-08,5.19e-06,"sig",FALSE
"Kctd12",3105.939474,1.170175775,0.219506636,5.330935758,9.77e-08,5.29e-06,"sig",FALSE
"Fabp5",1133.975293,3.16119252,0.593407062,5.327190597,9.97e-08,5.37e-06,"sig",FALSE
"Fmo5",547.9496343,-0.649371824,0.121892098,-5.327431689,9.96e-08,5.37e-06,"sig",FALSE
"Csf2rb",337.144347,1.566818939,0.294387448,5.322302115,1.02e-07,5.5e-06,"sig",FALSE
"Gstz1",1316.272902,-0.624358422,0.117382663,-5.319000321,1.04e-07,5.59e-06,"sig",FALSE
"Il1rap",585.5494993,0.858251452,0.16143769,5.316301632,1.06e-07,5.65e-06,"sig",FALSE
"Pkp1",641.5140516,5.567074826,1.047918309,5.312508409,1.08e-07,5.76e-06,"sig",FALSE
"Ly6d",240.7598899,5.461349342,1.028546454,5.309774119,1.1e-07,5.83e-06,"sig",FALSE
"Moxd1",3740.747715,1.977233307,0.372629526,5.30616382,1.12e-07,5.92e-06,"sig",FALSE
"Insm1",30.89734346,-2.843299812,0.536257193,-5.302119675,1.14e-07,6.04e-06,"sig",FALSE
"Fcgr2b",535.7814519,1.175766681,0.222012323,5.295952332,1.18e-07,6.23e-06,"sig",FALSE
"Ms4a7",304.9215432,1.263998239,0.238800167,5.293121264,1.2e-07,6.31e-06,"sig",FALSE
"Ms4a6d",140.7623686,1.922531595,0.363805288,5.284507007,1.26e-07,6.59e-06,"sig",FALSE
"Bcl2a1a",38.54245454,2.293200145,0.434209449,5.281322533,1.28e-07,6.69e-06,"sig",FALSE
"Krt80",828.2240008,1.560313395,0.295586897,5.278696083,1.3e-07,6.77e-06,"sig",FALSE
"Trim30a",308.9506835,1.050897917,0.19910375,5.27814226,1.31e-07,6.77e-06,"sig",FALSE
"Arhgap11a",400.959104,1.129638192,0.214301118,5.271265975,1.35e-07,7.01e-06,"sig",FALSE
"Csrp1",12724.8832,0.964211661,0.183128754,5.265211719,1.4e-07,7.2e-06,"sig",FALSE
"Lamb3",3781.766753,0.855097847,0.162389643,5.265716667,1.4e-07,7.2e-06,"sig",FALSE
"Ctps",832.5538604,0.881533344,0.167487744,5.263270745,1.42e-07,7.24e-06,"sig",FALSE
"Cd276",366.336242,1.154446431,0.219322305,5.263698229,1.41e-07,7.24e-06,"sig",FALSE
"Bcl2a1d",67.50337624,2.002014355,0.38157659,5.246690723,1.55e-07,7.9e-06,"sig",FALSE
"Cnpy1",42.57213012,-2.966769323,0.568419737,-5.219328486,1.8e-07,9.13e-06,"sig",FALSE
"Nenf",1007.046133,0.835797582,0.160281245,5.214568826,1.84e-07,9.35e-06,"sig",FALSE
"Gm3383",30.85463111,2.623169638,0.503227427,5.212692111,1.86e-07,9.42e-06,"sig",FALSE
"Cyba",1627.671321,0.946892455,0.182385979,5.191695435,2.08e-07,1.05e-05,"sig",FALSE
"Gm3194",30.46846705,2.675876098,0.516286622,5.182927441,2.18e-07,1.1e-05,"sig",FALSE
"Acod1",16.41224405,4.917969306,0.949410025,5.180026727,2.22e-07,1.11e-05,"sig",FALSE
"Ildr1",1274.893617,0.710961516,0.137387776,5.17485279,2.28e-07,1.14e-05,"sig",FALSE
"Pex5l",45.80092537,-2.468357257,0.477426051,-5.170135254,2.34e-07,1.17e-05,"sig",FALSE
"Lilrb4a",538.5314078,1.203017045,0.23278042,5.168033653,2.37e-07,1.18e-05,"sig",FALSE
"Slc25a42",720.0771738,-0.927470359,0.179588008,-5.164433695,2.41e-07,1.2e-05,"sig",FALSE
"Rptn",2097.969572,12.0416025,2.334206566,5.158756161,2.49e-07,1.23e-05,"sig",FALSE
"Endod1",1156.037067,0.814461171,0.158340071,5.143746415,2.69e-07,1.33e-05,"sig",FALSE
"Nhs",121.5312742,-1.147082556,0.223083818,-5.14193528,2.72e-07,1.34e-05,"sig",FALSE
"Rgs1",94.29371264,1.7251365,0.335698493,5.138946219,2.76e-07,1.36e-05,"sig",FALSE
"Celsr3",34.67429858,-2.759040104,0.537138104,-5.136556287,2.8e-07,1.37e-05,"sig",FALSE
"Slc7a11",85.25628093,2.366558864,0.460797915,5.135784661,2.81e-07,1.37e-05,"sig",FALSE
"Ctsh",3810.540483,0.641225903,0.124919809,5.133100245,2.85e-07,1.39e-05,"sig",FALSE
"Cxcl11",66.65640441,-2.088848193,0.40709363,-5.131124732,2.88e-07,1.4e-05,"sig",FALSE
"Masp2",12.46284095,3.463204023,0.675503882,5.126845476,2.95e-07,1.43e-05,"sig",FALSE
"Prrg4",70.16024224,1.682096594,0.328352905,5.122831469,3.01e-07,1.45e-05,"sig",FALSE
"Trpv4",1943.462269,1.159524405,0.226446959,5.120512142,3.05e-07,1.47e-05,"sig",FALSE
"Lrrc31",53.07949745,2.682306289,0.524717234,5.111908124,3.19e-07,1.53e-05,"sig",FALSE
"Wfdc17",127.5275327,1.866847209,0.36554079,5.107083149,3.27e-07,1.57e-05,"sig",FALSE
"Gm3005",39.20144491,4.372059539,0.85808825,5.095116428,3.49e-07,1.67e-05,"sig",FALSE
"Kcnk3",248.62891,-2.147464415,0.422075996,-5.08786199,3.62e-07,1.73e-05,"sig",FALSE
"Rbm20",533.6950873,-1.018374334,0.200468661,-5.079967749,3.77e-07,1.8e-05,"sig",FALSE
"Sfrp4",332.6098841,1.551816191,0.305602812,5.077885839,3.82e-07,1.81e-05,"sig",FALSE
"Sh3tc2",377.9462768,0.950391782,0.187228252,5.076113089,3.85e-07,1.82e-05,"sig",FALSE
"Zfp991",151.1729055,-1.557969245,0.306930636,-5.075965251,3.86e-07,1.82e-05,"sig",FALSE
"Nckap1l",535.2649726,0.885344964,0.174469836,5.074487276,3.89e-07,1.83e-05,"sig",FALSE
"Rpl12",4952.7455,0.702471878,0.138456572,5.07359,3.9e-07,1.83e-05,"sig",FALSE
"Fads1",1104.801472,-0.69459944,0.137087873,-5.066819018,4.05e-07,1.89e-05,"sig",FALSE
"Stk32a",36.8990326,-2.316950435,0.457449373,-5.064933021,4.09e-07,1.91e-05,"sig",FALSE
"Cybb",725.0202716,1.089399924,0.215172012,5.062925758,4.13e-07,1.91e-05,"sig",FALSE
"Slamf7",160.2301863,1.34841256,0.266293316,5.063636517,4.11e-07,1.91e-05,"sig",FALSE
"Lrrc8c",531.7674509,0.97438885,0.192440269,5.063331378,4.12e-07,1.91e-05,"sig",FALSE
"Serpinb2",111.1126485,5.176175963,1.022412983,5.062705626,4.13e-07,1.91e-05,"sig",FALSE
"Prmt8",17.02186326,-3.066458523,0.606387689,-5.056927408,4.26e-07,1.97e-05,"sig",FALSE
"Prkch",417.5609093,0.865473068,0.171332955,5.051410382,4.39e-07,2.02e-05,"sig",FALSE
"BC067074",185.3897466,-1.190792495,0.235781915,-5.050397937,4.41e-07,2.02e-05,"sig",FALSE
"Tnr",16.9637273,-2.976957966,0.590705435,-5.039665782,4.66e-07,2.12e-05,"sig",FALSE
"Aoc3",680.3935955,-1.266942407,0.251389926,-5.039750115,4.66e-07,2.12e-05,"sig",FALSE
"Glb1",1929.406247,1.024052774,0.20317503,5.040249155,4.65e-07,2.12e-05,"sig",FALSE
"Kng2",247.9527315,1.507450483,0.299040648,5.040955111,4.63e-07,2.12e-05,"sig",FALSE
"Ncf2",229.532361,1.324698072,0.263117523,5.034625054,4.79e-07,2.17e-05,"sig",FALSE
"Tmed3",3279.406128,0.987684423,0.196161426,5.035059346,4.78e-07,2.17e-05,"sig",FALSE
"Smc2",157.3964245,0.953663847,0.189577871,5.030459739,4.89e-07,2.2e-05,"sig",FALSE
"Smpdl3b",141.2551162,1.735829195,0.345075311,5.030290894,4.9e-07,2.2e-05,"sig",FALSE
"Tcirg1",728.1762793,0.737815816,0.146696763,5.029530298,4.92e-07,2.21e-05,"sig",FALSE
"Lipe",1707.526969,-1.22161119,0.24296596,-5.027910866,4.96e-07,2.22e-05,"sig",FALSE
"Rps3",7152.532204,0.654680916,0.130220351,5.027485407,4.97e-07,2.22e-05,"sig",FALSE
"Tspo",1603.293282,0.815017722,0.16217511,5.025541344,5.02e-07,2.24e-05,"sig",FALSE
"Cntn1",61.9696558,3.510486924,0.701111973,5.00702749,5.53e-07,2.46e-05,"sig",FALSE
"Dusp4",91.75286341,-1.419972524,0.283784484,-5.00370035,5.62e-07,2.49e-05,"sig",FALSE
"Dsg1b",138.6948531,9.953780626,1.98919131,5.003933295,5.62e-07,2.49e-05,"sig",FALSE
"Gm37752",13.12131603,5.087930862,1.01803634,4.997789037,5.8e-07,2.56e-05,"sig",FALSE
"Pilra",62.03936964,1.846652865,0.369932493,4.991864464,5.98e-07,2.63e-05,"sig",FALSE
"Stmn1",469.0910898,1.065289607,0.213580693,4.987761719,6.11e-07,2.68e-05,"sig",FALSE
"Unc80",22.59360785,-3.091323808,0.620971536,-4.978205322,6.42e-07,2.81e-05,"sig",FALSE
"Calm4",612.8397816,12.09570365,2.432456471,4.972629026,6.61e-07,2.89e-05,"sig",FALSE
"Entpd4b",1252.822741,-0.766590022,0.154230759,-4.970409451,6.68e-07,2.91e-05,"sig",FALSE
"Phf11d",244.9050509,0.86693222,0.174478987,4.968691278,6.74e-07,2.93e-05,"sig",FALSE
"Irf7",291.9004224,1.066716533,0.214714495,4.968069494,6.76e-07,2.94e-05,"sig",FALSE
"Kif4",48.14822127,1.62636906,0.32757244,4.9649142,6.87e-07,2.98e-05,"sig",FALSE
"S100a14",538.3446838,3.219999357,0.649514811,4.957545697,7.14e-07,3.08e-05,"sig",FALSE
"Fxyd5",755.5090526,0.97826118,0.197450154,4.95447159,7.25e-07,3.13e-05,"sig",FALSE
"Lzts1",69.77281651,-1.764795867,0.356688979,-4.947716278,7.51e-07,3.23e-05,"sig",FALSE
"Fyb2",90.75049925,1.705647559,0.345398754,4.938198364,7.88e-07,3.38e-05,"sig",FALSE
"Rab38",131.5029666,0.97103793,0.196976023,4.929726558,8.23e-07,3.52e-05,"sig",FALSE
"Esyt3",93.24167557,2.061469821,0.418256518,4.928721324,8.28e-07,3.53e-05,"sig",FALSE
"Glipr1",121.9058528,1.236279776,0.250847337,4.928414987,8.29e-07,3.53e-05,"sig",FALSE
"B430306N03Rik",18.42890662,3.179938794,0.645561827,4.925847005,8.4e-07,3.57e-05,"sig",FALSE
"Casp4",113.9214502,1.651850593,0.335693151,4.920715799,8.62e-07,3.66e-05,"sig",FALSE
"Laptm5",943.2981758,0.873566742,0.17754912,4.920141216,8.65e-07,3.66e-05,"sig",FALSE
"Dram1",1289.060424,0.767754839,0.156138612,4.91713632,8.78e-07,3.71e-05,"sig",FALSE
"Fbxl16",120.3913863,-1.201298375,0.244395793,-4.915380748,8.86e-07,3.73e-05,"sig",FALSE
"A230057D06Rik",33.35482756,-2.250197702,0.457808033,-4.915155571,8.87e-07,3.73e-05,"sig",FALSE
"Ntrk2",595.8441252,-1.060100796,0.215781442,-4.912845092,8.98e-07,3.76e-05,"sig",FALSE
"Ikzf1",292.8766395,1.061338624,0.21653986,4.901354543,9.52e-07,3.98e-05,"sig",FALSE
"Pkp3",802.7818975,0.971341704,0.198270055,4.899084252,9.63e-07,4.02e-05,"sig",FALSE
"Srd5a1",376.1539981,1.756669808,0.35868627,4.897510593,9.71e-07,4.04e-05,"sig",FALSE
"Slc5a9",276.622702,1.563190363,0.319414014,4.893931678,9.88e-07,4.1e-05,"sig",FALSE
"Eppk1",342.3523983,1.229072101,0.251138485,4.894001419,9.88e-07,4.1e-05,"sig",FALSE
"Csf1",893.2886971,0.808521914,0.165269364,4.892146354,9.97e-07,4.13e-05,"sig",FALSE
"Miip",285.6541251,-1.254365275,0.256437721,-4.891500625,1e-06,4.13e-05,"sig",FALSE
"Ddc",71.81996495,-2.094526339,0.428417064,-4.888989059,1.01e-06,4.16e-05,"sig",FALSE
"Cd47",2425.641426,0.515048594,0.105345958,4.889115871,1.01e-06,4.16e-05,"sig",FALSE
"Plau",516.3154526,0.952846343,0.194963308,4.887311125,1.02e-06,4.19e-05,"sig",FALSE
"Mucl1",33.23662761,3.616423572,0.740349573,4.884751345,1.04e-06,4.24e-05,"sig",FALSE
"Gm42793",11.47095426,4.01024406,0.8212106,4.883332073,1.04e-06,4.26e-05,"sig",FALSE
"Gm26886",6.757294786,6.134797168,1.256502718,4.882438437,1.05e-06,4.27e-05,"sig",FALSE
"Tbxas1",175.8096842,1.193998492,0.244625841,4.880917261,1.06e-06,4.28e-05,"sig",FALSE
"Ly6g6c",152.8975213,5.208180662,1.067079732,4.880779297,1.06e-06,4.28e-05,"sig",FALSE
"Atp1a3",92.46263123,1.686337171,0.345840889,4.876049151,1.08e-06,4.38e-05,"sig",FALSE
"Gldn",52.28207046,-2.14449765,0.439917115,-4.874776582,1.09e-06,4.4e-05,"sig",FALSE
"Psmb8",726.8572016,0.824226125,0.169096743,4.874287399,1.09e-06,4.4e-05,"sig",FALSE
"Lctl",37.15524888,-2.422161476,0.497368984,-4.869948778,1.12e-06,4.49e-05,"sig",FALSE
"Acot1",854.3887395,0.921087614,0.189205818,4.868178067,1.13e-06,4.52e-05,"sig",FALSE
"Rtl6",279.0723923,-0.948209486,0.19510077,-4.860101189,1.17e-06,4.69e-05,"sig",FALSE
"Aqp1",3643.478698,1.102053695,0.227146634,4.85172804,1.22e-06,4.88e-05,"sig",FALSE
"C1qa",2104.87238,1.035938755,0.213509155,4.851964112,1.22e-06,4.88e-05,"sig",FALSE
"Pdk1",1280.835452,-0.720596919,0.148537919,-4.851265751,1.23e-06,4.88e-05,"sig",FALSE
"Naaladl2",214.8868303,1.473859132,0.303937354,4.849220113,1.24e-06,4.92e-05,"sig",FALSE
"Emp1",2234.276883,0.790235841,0.163072185,4.8459266,1.26e-06,4.99e-05,"sig",FALSE
"Cldn1",278.4566969,1.314551166,0.271332362,4.844800512,1.27e-06,5e-05,"sig",FALSE
"Lemd1",36.86177079,2.928816994,0.604717387,4.843282261,1.28e-06,5.03e-05,"sig",FALSE
"Gm3173",10.20137891,6.09503831,1.260544637,4.835241951,1.33e-06,5.23e-05,"sig",FALSE
"Gtf2f2",673.2308079,1.065025164,0.22049423,4.830172492,1.36e-06,5.35e-05,"sig",FALSE
"Gm2a",2131.79971,1.007330292,0.208585076,4.829349783,1.37e-06,5.36e-05,"sig",FALSE
"S100a9",43.61520345,2.801004695,0.580495444,4.82519669,1.4e-06,5.46e-05,"sig",FALSE
"Chrdl1",417.6571484,0.995580732,0.206394936,4.82366841,1.41e-06,5.49e-05,"sig",FALSE
"Kcnt1",21.69734064,-2.573788523,0.533616697,-4.823290829,1.41e-06,5.49e-05,"sig",FALSE
"Arhgef17",1089.188086,-0.769498054,0.159585459,-4.821855685,1.42e-06,5.52e-05,"sig",FALSE
"Cdca3",58.41325625,1.67178933,0.346900793,4.819214495,1.44e-06,5.58e-05,"sig",FALSE
"Krt13",11265.95809,10.78458195,2.238351067,4.818092261,1.45e-06,5.6e-05,"sig",FALSE
"Cdh2",67.41363474,-1.299500225,0.270338943,-4.806929436,1.53e-06,5.9e-05,"sig",FALSE
"Rps10",3318.662028,0.670822289,0.139543653,4.807257605,1.53e-06,5.9e-05,"sig",FALSE
"Pnpla3",208.9208402,-1.599778084,0.332862737,-4.806119482,1.54e-06,5.91e-05,"sig",FALSE
"Lypd3",232.7053203,5.769032928,1.200694852,4.804745284,1.55e-06,5.94e-05,"sig",FALSE
"Ccr7",19.58924229,2.557533557,0.532411108,4.803681815,1.56e-06,5.96e-05,"sig",FALSE
"Gm3636",83.30119314,1.630840254,0.339738937,4.800274791,1.58e-06,6.05e-05,"sig",FALSE
"Fndc9",28.72120989,6.118552285,1.275597719,4.796615887,1.61e-06,6.15e-05,"sig",FALSE
"Gm8108",22.51564033,3.327559275,0.693813996,4.796039418,1.62e-06,6.15e-05,"sig",FALSE
"Litaf",837.6764167,0.79004171,0.164743896,4.795575004,1.62e-06,6.15e-05,"sig",FALSE
"Esp8",11.53960314,3.269865279,0.682457397,4.79131048,1.66e-06,6.27e-05,"sig",FALSE
"Hck",141.4458073,1.370459909,0.286359461,4.785802796,1.7e-06,6.43e-05,"sig",FALSE
"Klk10",338.0352266,5.960466373,1.246114969,4.783239524,1.72e-06,6.5e-05,"sig",FALSE
"Cbfa2t3",800.6732964,-1.006136612,0.210432748,-4.781273928,1.74e-06,6.55e-05,"sig",FALSE
"Il1rn",259.8119462,2.36011143,0.494097976,4.776606147,1.78e-06,6.69e-05,"sig",FALSE
"Cpn2",16.84485826,-3.305177769,0.69215271,-4.77521466,1.8e-06,6.73e-05,"sig",FALSE
"Tpst2",562.9406596,0.585419496,0.122673403,4.772179458,1.82e-06,6.8e-05,"sig",FALSE
"Cavin3",476.7956728,1.017945065,0.213309166,4.77215811,1.82e-06,6.8e-05,"sig",FALSE
"Ahnak",10577.6897,0.919757434,0.192816277,4.770123393,1.84e-06,6.86e-05,"sig",FALSE
"Snap91",140.3664509,-2.087891377,0.438151146,-4.765230894,1.89e-06,7.01e-05,"sig",FALSE
"Ptgfrn",1438.895745,0.721713833,0.151518787,4.763197018,1.91e-06,7.07e-05,"sig",FALSE
"Fam25c",226.5721385,7.659229026,1.608821945,4.760768617,1.93e-06,7.14e-05,"sig",FALSE
"Lrig1",1417.246584,-0.666087586,0.140169947,-4.75199997,2.01e-06,7.44e-05,"sig",FALSE
"Timp2",6376.824396,0.761870728,0.160432654,4.748850739,2.05e-06,7.54e-05,"sig",FALSE
"Usp35",251.9197772,1.042679112,0.219635654,4.747312613,2.06e-06,7.59e-05,"sig",FALSE
"Cdk1",63.83228552,1.56699704,0.330480647,4.74156976,2.12e-06,7.79e-05,"sig",FALSE
